	name	subsystem	base_PDA	eflux_PDA	base_half	eflux_half	base_onetenth	eflux_onetenth
rxn00248_m0	(S)-malate:NAD+ oxidoreductase		1.0243565084872035	1.024356508500083	0.5121782757517902	0.5121782757539438	0.10243565894100304	0.10243565894100304
rxn00506_m0			0.0	0.0	0.0	0.0	0.0	0.0
rxn08067_c0	adentylate kinase (ITP)_c0		0.0	0.0	0.0	0.0	0.0	0.0
rxn00062_c0			0.0	0.0	0.0	0.0	0.0	0.0
rxn00154_m0			1.1830536640907328	1.1830536640878704	0.5915268762306176	0.5915268762301352	0.11830537419953047	0.11830537419953047
rxn00515_c0	ATP:IDP phosphotransferase_c0		0.0	0.0	0.0	0.0	0.0	0.0
rxn00260_m0	L-Aspartate:2-oxoglutarate aminotransferase		0.03648765891891288	0.03648765891891413	0.01824387009029953	0.018243870090299572	0.003648785832419704	0.003648785832419704
rxn00507_c0			4.926108537138552	4.926108537138654	2.4630543190671474	2.4630543190671506	0.49261084895326046	0.49261084895326046
rxn00247_c0			0.0	0.0	0.0	0.0	0.0	0.0
rxn00505_m0	Isocitrate:NAD+ oxidoreductase (decarboxylating)		0.8888616162376662	0.8888616162348086	0.4444307929632065	0.4444307929627345	0.08888616069931786	0.08888616069931786
rxn00459_c0	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0		6.676088620904442	6.676088620901697	3.3380444595857757	3.3380444595852965	0.6676088623236577	0.6676088623236577
rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		0.13586631665667062	0.13586631665667417	0.06793318512311727	0.06793318512311738	0.013586640496467257	0.013586640496467257
rxn00187_c0			0.1031087080353909	0.10310870803541976	0.05155437683213762	0.051554376832159056	0.010310880821926471	0.010310880821926471
rxn00006_c0			0.0	0.0	0.0	0.0	0.0	0.0
rxn00168_c0			4.926108537138552	4.926108537138654	2.4630543190671474	2.4630543190671506	0.49261084895326046	0.49261084895326046
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0		7.012775595645126	7.012775595642414	3.5063879515134424	3.506387951512985	0.7012775594476655	0.7012775594476655
rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		5.0265603	5.0265603	2.5132802	2.5132802	0.50265603	0.50265603
rxn01333_c0	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0		0.0	0.0	0.0	0.0	0.0	0.0
rxn30674_m0	Fumarase_m0		0.960382860075972	0.9761740708358679	0.4801914309301439	0.4801914309322762	0.09603828413679637	0.09603828413679637
rxn00545_c0			2.114431304464146	2.1144313044588334	1.0572157012076415	1.057215701206761	0.21144312755746345	0.21144312755746345
rxn00191_m0	L-Alanine:2-oxoglutarate aminotransferase_m0		0.0	0.0	0.0	0.0	0.0	0.0
rxn00134_c0			0.005973941749440324	0.005973941749440326	0.0029869709359594053	0.0029869709359594053	0.0005973941691707947	0.0005973941691707947
rxn00191_c0	L-Alanine:2-oxoglutarate aminotransferase_c0		-0.0879317888698349	-0.08793178888554484	-0.04396590553721643	-0.04396590553982064	-0.008793178910205847	-0.008793178910205847
rxn00161_m0			0.0	0.0	0.0	0.0	0.0	0.0
